id,codigo_e,nombre,total_docs,r_tox_genetica,r_tox_endocrina,r_tox_neuro,r_tox_digestiva,r_tox_alergia,r_tox_organos,r_ben_antiox,r_ben_microbiol,r_ben_metabolico,r_mod_humano,r_mod_animal,r_mod_invitro
en:e124,E124,Ponceau 4r,418,0.13157894736842105,0.019138755980861243,0.05263157894736842,0.0023923444976076554,0.04066985645933014,0.06937799043062201,0.023923444976076555,0.050239234449760764,0.10526315789473684,0.34210526315789475,0.10047846889952153,0.39473684210526316
en:e621,E621,Monosodium glutamate,1903,0.04519180241723594,0.20336311087756173,0.3741460851287441,0.011560693641618497,0.03415659485023647,0.11035207566999475,0.1093011035207567,0.0719915922228061,0.2585391487125591,0.21965317919075145,0.5843405149763531,0.418812401471361
en:e150b,E150B,Caustic sulphite caramel,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
en:e352i,E352I,Calcium malate,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
en:e324,E324,Ethoxyquin,210,0.2571428571428571,0.014285714285714285,0.047619047619047616,0.02857142857142857,0.023809523809523808,0.18095238095238095,0.26666666666666666,0.14761904761904762,0.20476190476190476,0.3619047619047619,0.1761904761904762,0.3952380952380952
en:e220,E220,Sulphur dioxide,760,0.09868421052631579,0.013157894736842105,0.02236842105263158,0.003947368421052632,0.13815789473684212,0.015789473684210527,0.038157894736842106,0.07631578947368421,0.08421052631578947,0.6157894736842106,0.025,0.6236842105263158
en:e509,E509,Calcium chloride,1864,0.05847639484978541,0.0917381974248927,0.06598712446351931,0.004828326180257511,0.005901287553648069,0.054184549356223174,0.055793991416309016,0.12607296137339055,0.18186695278969958,0.21888412017167383,0.23122317596566525,0.5278969957081545
en:e315,E315,Erythorbic acid,163,0.17177914110429449,0.04294478527607362,0.06134969325153374,0.006134969325153374,0.03680981595092025,0.06134969325153374,0.10429447852760736,0.07975460122699386,0.12883435582822086,0.4294478527607362,0.06134969325153374,0.32515337423312884
en:e642,E642,E642,55,0.14545454545454545,0.07272727272727272,0.09090909090909091,0.0,0.0,0.05454545454545454,0.0,0.03636363636363636,0.16363636363636364,0.509090909090909,0.03636363636363636,0.38181818181818183
en:e1404,E1404,Oxidised starch,25,0.12,0.08,0.04,0.04,0.0,0.08,0.0,0.0,0.16,0.48,0.04,0.32
xx:e386,E386,Desconocido,114,0.22807017543859648,0.05263157894736842,0.05263157894736842,0.017543859649122806,0.02631578947368421,0.06140350877192982,0.017543859649122806,0.017543859649122806,0.09649122807017543,0.5526315789473685,0.02631578947368421,0.2894736842105263
en:e409,E409,Arabinogalactan,651,0.07219662058371736,0.019969278033794162,0.016897081413210446,0.07680491551459294,0.015360983102918587,0.030721966205837174,0.08755760368663594,0.12135176651305683,0.2457757296466974,0.21351766513056836,0.15053763440860216,0.5238095238095238
en:e129,E129,Allura red,511,0.14481409001956946,0.015655577299412915,0.04500978473581213,0.015655577299412915,0.029354207436399216,0.050880626223091974,0.021526418786692758,0.07632093933463796,0.09393346379647749,0.30919765166340507,0.07632093933463796,0.4227005870841487
en:e161i,E161I,Citranaxanthin,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0
en:e329,E329,Magnesium lactate,143,0.21678321678321677,0.03496503496503497,0.06293706293706294,0.0,0.027972027972027972,0.027972027972027972,0.006993006993006993,0.04195804195804196,0.11888111888111888,0.5454545454545454,0.027972027972027972,0.35664335664335667
en:e1521,E1521,Polyethylene glycol,5076,0.2111899133175729,0.054570527974783296,0.0504334121355398,0.015366430260047281,0.03546099290780142,0.08372734436564223,0.08530338849487785,0.1182033096926714,0.2923561859732072,0.33609141055949565,0.3351063829787234,0.5262017336485422
