id_original,nombre_referencia,total_docs,toxicidad_genetica,carcinogenesis,disrupcion_endocrina,toxicidad_metabolica,microbiota_gut_health,barrera_hematoencefalica,inmunotoxicidad_alergia,inflamacion_cronica,potencial_bioactivo,evidencia_clinica_humana,estudios_mecanisticos
85,Amaranth,3130,46,265,73,56,17,30,51,39,345,254,405
86,Glycerol esters of wood rosin,297,3,57,14,5,0,3,2,6,4,70,17
87,Mannitol,27082,583,2320,840,288,1614,809,545,649,4076,2458,6779
88,Ammonium carbonates,15144,98,449,185,77,19,37,37,35,572,407,2069
89,Aluminium sodium sulphate,249,3,57,6,5,1,4,3,5,8,71,17
90,Ammonium alginate,381,2,72,30,9,1,1,0,9,12,79,53
91,Ammonium polyphosphate,585,3,64,15,8,0,2,1,5,16,58,21
92,Thaumatin,1016,8,34,32,13,9,3,120,21,41,40,418
93,Monopotassium citrate,18,0,0,0,1,0,1,0,0,4,1,3
94,Polyglycitol syrup,87,0,11,4,6,0,2,0,2,4,30,10
95,Acetylated distarch glycerol,55,0,8,1,0,0,0,1,1,1,14,8
96,Dicalcium diphosphate,246,1,40,12,12,0,3,1,4,8,49,32
97,Hydroxy propyl distarch glycerine,47,0,7,1,2,0,1,0,2,1,12,5
98,Pectins,9843,81,520,229,118,446,17,77,246,1472,308,2654
99,Extracts of rosemary,341,7,68,27,9,2,5,3,13,38,66,40
100,E101a food additive,4358,74,152,111,14,15,36,9,20,387,141,1170
101,Advantame,145,4,22,8,9,5,1,0,1,1,33,14
102,Monosodium tartrate,27,1,3,1,0,0,0,1,4,7,2,14
103,Calcium benzoate,610,2,111,26,17,1,4,10,13,19,123,35
104,Dipotassium guanylate,164,1,33,10,4,0,2,0,4,8,48,13
105,Natamycin,1965,11,146,42,11,4,6,30,37,105,307,345
106,Magnesium trisilicate,602,6,25,4,6,0,0,2,2,34,84,70
107,Ethyl methyl cellulose,286,4,60,15,5,1,0,2,5,10,64,23
108,Metatartaric acid,423,1,100,18,12,0,3,7,7,10,96,42
109,Silicon dioxide,109053,1134,9363,1778,172,183,375,516,1824,5690,2122,14252
