nombre_limpio,total_docs,riesgo_cronico,riesgo_agudo,microbiota,beneficio,evidencia_humana
Sorbitan monostearate,256,39,20,2,48,41
Alginic acid,827,85,37,13,153,123
Magnesium sulphate,1972,74,143,2,301,968
Butylated hydroxyanisole (bha),918,635,38,6,858,123
Methylphenylpolysiloxane,4,0,0,0,0,0
Potassium metabisulphite,52,2,0,0,9,3
Gellan gum,1719,120,101,29,383,306
Calcium carbonate,15405,930,396,159,1753,2903
Desconocido,281,130,22,0,7,83
Potassium aluminium silicate,8,0,0,0,1,0
Inosinic acid,241,31,13,5,36,30
Succinic acid,8128,799,390,311,1519,1144
iron gluconate,90,5,16,0,4,52
Potassium sulphate,104,4,2,0,13,12
Orthophenyl phenol,4,1,0,0,3,0
methyl cellulose,2002,208,136,11,397,361
Maltitol syrup,8,0,1,0,1,4
Anthocyanins,19059,1858,1784,482,9392,3611
Polyphosphates,5702,472,174,71,894,967
Rice bran wax,90,3,1,1,15,7
Calcium silicate,3675,181,183,7,311,1047
Canthaxanthin,927,163,20,2,797,144
Wax ester,449,10,6,5,35,45
Sucroglycerides,9,0,0,0,1,2
Gluconic acid,2596,279,112,57,475,423
Castor oil,3100,260,356,42,717,502
Ascorbyl palmitate,336,52,28,3,292,61
Potassium bromate,520,370,21,1,171,106
Potassium pectate,3,0,1,0,2,1
Dipotassium inosinate,3,0,1,0,2,0
acetone peroxide,8,0,0,0,0,1
Cyanidin,4401,560,450,123,2298,957
ferric ammonium citrate,726,174,49,5,217,202
Sorbitan trioleate,85,8,3,0,12,10
Stearyl tartrate,2,1,0,0,0,1
Esters of Colophane,0,0,0,0,0,0
Tannin,6330,432,349,175,1951,838
